model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,92674,497492,152926,0.2217702084076165
sam2_hiera_t.yaml,6,1494707,219780,361790,0.8371401272030342
sam2_hiera_s.yaml,1,201795,97686,43805,0.7404220657113346
sam2_hiera_s.yaml,6,1628366,583948,228131,0.800413683506066
sam2_hiera_b+.yaml,1,222870,132592,22730,0.7415873903191351
sam2_hiera_b+.yaml,6,1585595,2183016,270902,0.5637562869904009
sam2_hiera_l.yaml,1,230533,22943,15067,0.9238392549431349
sam2_hiera_l.yaml,6,1539076,146217,317421,0.869095005632745
