model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,230706,61921,14894,0.8572814072872599
sam2_hiera_t.yaml,6,1554906,135325,301591,0.8768115288231858
sam2_hiera_s.yaml,1,229074,59371,16526,0.8578827626885375
sam2_hiera_s.yaml,6,1644421,187662,212076,0.8916282146517088
sam2_hiera_b+.yaml,1,218170,72642,27430,0.813441906594185
sam2_hiera_b+.yaml,6,1616247,197216,240250,0.8807981558382108
sam2_hiera_l.yaml,1,229773,78614,15827,0.8295248805477384
sam2_hiera_l.yaml,6,1631247,160931,225250,0.8941585644103681
