model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,196188,198568,49412,0.6127466596705583
sam2_hiera_t.yaml,6,1495776,260176,360721,0.8281229714246485
sam2_hiera_s.yaml,1,198079,207932,47521,0.6079670232700185
sam2_hiera_s.yaml,6,1563516,459438,292981,0.8060501344133487
sam2_hiera_b+.yaml,1,181180,78889,64420,0.716595243133354
sam2_hiera_b+.yaml,6,1595884,322459,260613,0.8455372942959172
sam2_hiera_l.yaml,1,196813,127361,48787,0.6908458441417124
sam2_hiera_l.yaml,6,1548027,165125,308470,0.8673272918429795
