model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,2,71221,125973,126937,0.36029158825552926
sam2_hiera_t.yaml,3,118639,75243,78707,0.6064954451112906
sam2_hiera_s.yaml,2,160,119625,197998,0.0010064697131246796
sam2_hiera_s.yaml,3,193672,30799,3674,0.9182749865462985
sam2_hiera_b+.yaml,2,73,75762,198085,0.0005328603285485395
sam2_hiera_b+.yaml,3,64678,76166,132668,0.38249504716283744
sam2_hiera_l.yaml,2,128750,59602,69408,0.6662182091019637
sam2_hiera_l.yaml,3,117890,71478,79456,0.609701226229203
