model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,2,185605,26142,12553,0.9056000780668692
sam2_hiera_t.yaml,3,179260,33392,18086,0.8744432899672682
sam2_hiera_s.yaml,2,170964,29123,27194,0.85858705068488
sam2_hiera_s.yaml,3,178809,33061,18537,0.8739101110416015
sam2_hiera_b+.yaml,2,177044,33657,21114,0.8660393925534231
sam2_hiera_b+.yaml,3,182646,35497,14700,0.8791857305488232
sam2_hiera_l.yaml,2,181734,30958,16424,0.8846732384081781
sam2_hiera_l.yaml,3,185767,32387,11579,0.8941853188929001
