model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,2,164921,32043,33237,0.8347852055820734
sam2_hiera_t.yaml,3,193837,20043,3509,0.9427273567332805
sam2_hiera_s.yaml,2,165406,33728,32752,0.832667156650524
sam2_hiera_s.yaml,3,193199,19284,4147,0.9428273743439337
sam2_hiera_b+.yaml,2,167425,32130,30733,0.8419387850032561
sam2_hiera_b+.yaml,3,193362,16684,3984,0.9492675359359045
sam2_hiera_l.yaml,2,168866,42944,29292,0.8238008820200601
sam2_hiera_l.yaml,3,192907,19799,4439,0.9408904236535854
