model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,2,172645,42779,25513,0.8348767596268697
sam2_hiera_t.yaml,3,177178,73326,20168,0.7912381377693424
sam2_hiera_s.yaml,2,85286,225327,112872,0.33526281961825655
sam2_hiera_s.yaml,3,168602,73555,28744,0.7672393590032377
sam2_hiera_b+.yaml,2,150527,86591,47631,0.6916393276909363
sam2_hiera_b+.yaml,3,104327,101818,93019,0.5171218193218684
sam2_hiera_l.yaml,2,179333,60303,18825,0.8192574589875603
sam2_hiera_l.yaml,3,142622,72345,54724,0.6918142285108643
