model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,2,175206,63988,22952,0.8012127531141964
sam2_hiera_t.yaml,3,187063,101906,10283,0.7693079588332665
sam2_hiera_s.yaml,2,37223,762178,160935,0.07462816735651726
sam2_hiera_s.yaml,3,62451,16732,134895,0.4516777625493167
sam2_hiera_b+.yaml,2,113837,94841,84321,0.5596210758143331
sam2_hiera_b+.yaml,3,141621,264233,55725,0.469565649867374
sam2_hiera_l.yaml,2,61528,78534,136630,0.36383419076340845
sam2_hiera_l.yaml,3,97825,85721,99521,0.5136626655324869
