model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,2,145180,99625,52978,0.6554949284703238
sam2_hiera_t.yaml,3,192473,77494,4873,0.823743401103757
sam2_hiera_s.yaml,2,28114,148945,170044,0.14985461746136236
sam2_hiera_s.yaml,3,176521,56883,20825,0.8195983749274521
sam2_hiera_b+.yaml,2,147680,66551,50478,0.7162169698997791
sam2_hiera_b+.yaml,3,144881,122988,52465,0.6228560987930312
sam2_hiera_l.yaml,2,147223,55185,50935,0.7350748690602797
sam2_hiera_l.yaml,3,121734,42583,75612,0.6731902351083744
