model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,2,187555,38910,10603,0.8833953883798099
sam2_hiera_t.yaml,3,186441,45066,10905,0.869486747207085
sam2_hiera_s.yaml,2,188739,35598,9419,0.8934496266228003
sam2_hiera_s.yaml,3,184495,46184,12851,0.8620758133286607
sam2_hiera_b+.yaml,2,190352,35570,7806,0.8977174118090926
sam2_hiera_b+.yaml,3,155704,46400,41642,0.7795919389160095
sam2_hiera_l.yaml,2,192693,43549,5465,0.8871685082872928
sam2_hiera_l.yaml,3,181644,34568,15702,0.8784451032261497
