model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,3,63203,25871,4095,0.8083672268692604
sam2_hiera_t.yaml,2,60385,4831,3956,0.9321765709301697
sam2_hiera_s.yaml,3,62204,22448,5094,0.818743007568279
sam2_hiera_s.yaml,2,60977,4383,3364,0.9402703140299612
sam2_hiera_b+.yaml,3,62864,14090,4434,0.8715858358982891
sam2_hiera_b+.yaml,2,60291,7776,4050,0.9106851549755302
sam2_hiera_l.yaml,3,21271,35344,46027,0.34332152397246457
sam2_hiera_l.yaml,2,60482,5356,3859,0.92921285307154
