model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,3,62102,27751,5196,0.7903481365056538
sam2_hiera_t.yaml,2,59765,4679,4576,0.9281360406879683
sam2_hiera_s.yaml,3,43571,23523,23727,0.6484165724150247
sam2_hiera_s.yaml,2,44831,5350,19510,0.7829238050330941
sam2_hiera_b+.yaml,3,58546,18949,8752,0.8086855027522049
sam2_hiera_b+.yaml,2,59298,9521,5043,0.8906278161610093
sam2_hiera_l.yaml,3,20296,31399,47002,0.3411293101274865
sam2_hiera_l.yaml,2,42270,17952,22071,0.6786927097131572
