model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,3,61695,7416,5603,0.9045590833449406
sam2_hiera_t.yaml,2,58339,5046,6002,0.9135023409485931
sam2_hiera_s.yaml,3,49769,19232,17529,0.7302914915003045
sam2_hiera_s.yaml,2,57740,6156,6601,0.9005201306955091
sam2_hiera_b+.yaml,3,61517,10356,5781,0.8840491194286166
sam2_hiera_b+.yaml,2,60173,8392,4168,0.9054971182640362
sam2_hiera_l.yaml,3,59150,13898,8148,0.8429167913584997
sam2_hiera_l.yaml,2,59041,3665,5300,0.9294355632167624
