model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,494265,62885,102534,0.8566496439617349
sam2_hiera_t.yaml,4,103956,16527,13421,0.8740940048768183
sam2_hiera_s.yaml,1,545925,72625,50874,0.8983839209971786
sam2_hiera_s.yaml,4,108026,15031,9351,0.8985917133184159
sam2_hiera_b+.yaml,1,400155,44515,196644,0.7684434198233456
sam2_hiera_b+.yaml,4,78241,7937,39136,0.7687455478863207
sam2_hiera_l.yaml,1,452428,50500,144371,0.8228005677772756
sam2_hiera_l.yaml,4,105507,16404,11870,0.8818411286817559
