model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,48822,7264,547977,0.14955773221930355
sam2_hiera_t.yaml,4,109821,20672,7556,0.8861177229999596
sam2_hiera_s.yaml,1,114475,15280,482324,0.31511766503246835
sam2_hiera_s.yaml,4,109703,20524,7674,0.8861165409282564
sam2_hiera_b+.yaml,1,120084,15152,476715,0.3280826736426537
sam2_hiera_b+.yaml,4,97314,11375,20063,0.8609344173825343
sam2_hiera_l.yaml,1,111293,10071,485506,0.3099379945778326
sam2_hiera_l.yaml,4,110359,21391,7018,0.8859657925475761
