model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,144032,15398,452767,0.38092165203926326
sam2_hiera_t.yaml,4,91699,10958,25678,0.8334984593290128
sam2_hiera_s.yaml,1,1525,6305,595274,0.005044415666466544
sam2_hiera_s.yaml,4,69620,8775,47757,0.7112355188688883
sam2_hiera_b+.yaml,1,288753,23712,308046,0.6351356701683999
sam2_hiera_b+.yaml,4,61715,6868,55662,0.6637448913744891
sam2_hiera_l.yaml,1,137459,15297,459340,0.3667749531388624
sam2_hiera_l.yaml,4,69259,5879,48118,0.7195179596395086
