model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,2,175031,42460,23127,0.8422058034543569
sam2_hiera_t.yaml,3,176764,70413,20582,0.7952974311790391
sam2_hiera_s.yaml,2,83870,228726,114288,0.3284164196462485
sam2_hiera_s.yaml,3,166970,74947,30376,0.7602279272326602
sam2_hiera_b+.yaml,2,152941,82491,45217,0.7054636868931479
sam2_hiera_b+.yaml,3,100878,105455,96468,0.4997931524800646
sam2_hiera_l.yaml,2,178654,58783,19504,0.820275714826846
sam2_hiera_l.yaml,3,142250,69696,55096,0.6951027628196984
