model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,2,157622,75567,40536,0.7308361945255212
sam2_hiera_t.yaml,3,184478,98806,12868,0.7676507916692674
sam2_hiera_s.yaml,2,43892,765454,154266,0.08713017516555766
sam2_hiera_s.yaml,3,117519,52183,79827,0.6403467666354264
sam2_hiera_b+.yaml,2,107155,105124,91003,0.5221507807531972
sam2_hiera_b+.yaml,3,127336,183451,70010,0.5011916171553511
sam2_hiera_l.yaml,2,60632,98901,137526,0.33901887383244195
sam2_hiera_l.yaml,3,79857,114213,117489,0.4080415721380833
