model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,494686,62719,102113,0.8571898901753936
sam2_hiera_t.yaml,4,106068,15461,11309,0.8879475609654006
sam2_hiera_s.yaml,1,547998,73739,48801,0.8994367010904889
sam2_hiera_s.yaml,4,108353,15291,9024,0.8991166744806469
sam2_hiera_b+.yaml,1,405498,45059,191301,0.7743269719178579
sam2_hiera_b+.yaml,4,79604,7907,37773,0.777048924290344
sam2_hiera_l.yaml,1,452144,50320,144655,0.822631162879129
sam2_hiera_l.yaml,4,105489,16354,11888,0.881941309255079
