model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,350385,29671,246414,0.7173736122556572
sam2_hiera_t.yaml,4,110122,17439,7255,0.8991826503033421
sam2_hiera_s.yaml,1,273889,88678,322910,0.5709791674918644
sam2_hiera_s.yaml,4,109764,20363,7613,0.8869674833538044
sam2_hiera_b+.yaml,1,445151,157649,151648,0.742166340585479
sam2_hiera_b+.yaml,4,100774,12465,16603,0.873954972768585
sam2_hiera_l.yaml,1,343793,67904,253006,0.6817934825720677
sam2_hiera_l.yaml,4,110080,20463,7297,0.888028396256857
