model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,145045,8009,451754,0.38686249171504283
sam2_hiera_t.yaml,4,90738,10781,26639,0.8290512389445216
sam2_hiera_s.yaml,1,98415,12940,498384,0.27794801695676363
sam2_hiera_s.yaml,4,69372,8515,48005,0.7105457227138643
sam2_hiera_b+.yaml,1,342551,31984,254248,0.705320723870471
sam2_hiera_b+.yaml,4,65733,6038,51644,0.6950430350836382
sam2_hiera_l.yaml,1,140678,18249,456121,0.3722989549122301
sam2_hiera_l.yaml,4,68984,6771,48393,0.7143715179255639
