model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,145043,8006,451756,0.38685973690667974
sam2_hiera_t.yaml,4,90739,10787,26638,0.829033864314331
sam2_hiera_s.yaml,1,98413,12936,498386,0.2779447234193982
sam2_hiera_s.yaml,4,69371,8516,48006,0.7105354801704359
sam2_hiera_b+.yaml,1,342546,31987,254253,0.705311881004641
sam2_hiera_b+.yaml,4,65733,6037,51644,0.6950467097019778
sam2_hiera_l.yaml,1,140676,18245,456123,0.3722966177949505
sam2_hiera_l.yaml,4,68984,6771,48393,0.7143715179255639
