model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,213643,17529,383156,0.5160639684240148
sam2_hiera_t.yaml,4,109051,12152,8326,0.9141671556710538
sam2_hiera_s.yaml,1,231515,20078,365284,0.5457736518024686
sam2_hiera_s.yaml,4,109616,11085,7761,0.9208410688933879
sam2_hiera_b+.yaml,1,540547,57897,56252,0.9044972444933792
sam2_hiera_b+.yaml,4,68463,16048,48914,0.6782275320970043
sam2_hiera_l.yaml,1,417616,64529,179183,0.7741198801791381
sam2_hiera_l.yaml,4,109018,13768,8359,0.9078667405054067
