model_cfg,label_id,tp,fp,fn,dice
sam2_hiera_t.yaml,1,375956,24725,220843,0.753811605245218
sam2_hiera_t.yaml,4,96975,14962,20402,0.8457835108192261
sam2_hiera_s.yaml,1,433577,50166,163222,0.8025176254139127
sam2_hiera_s.yaml,4,108812,13263,8565,0.9088418555702187
sam2_hiera_b+.yaml,1,486726,44142,110073,0.8632442024108181
sam2_hiera_b+.yaml,4,107618,13965,9759,0.9007197857381989
sam2_hiera_l.yaml,1,458507,55972,138292,0.8251886566637691
sam2_hiera_l.yaml,4,107293,20396,10084,0.8756253417446729
